Model,In,Out,Batch,Compiled,Fwd Mean (ms),Fwd Std (ms),Bwd Mean (ms),Bwd Std (ms)
Lorentz_FC cached + ReLU,16384,16,512,False,0.20514133114081162,0.0010710566792207013,0.35539336153801454,0.0027976030681505604
BdeirLorentzMLR,16384,16,512,False,0.5406720042228699,0.0052172926977589506,1.100885344048341,0.004252126314815336
"ChenLinear (bias=F, norm=F)",16384,16,512,False,0.22105327597323884,0.0034813234857085248,0.37312816939455395,0.00350008941854787
"ChenLinear (bias=T, norm=T)",16384,16,512,False,0.4948906674981117,0.0054904251773701795,0.742314662784338,0.006089839599963776
Poincare_Dist2Hyperplanes,16384,16,512,False,0.48269617367298046,0.005490294666663999,1.1241123422663262,0.0053614265392439775
Poincare_Linear,16384,16,512,False,0.8829058687737648,0.0059669178450355706,1.578848695755005,0.006537061457163932
PoincareActivation (ReLU),16384,16,512,False,0.6594995754830381,0.0022150195901042393,2.5952081426661064,0.0031654025535841957
Euclidean Linear,16384,16,512,False,0.10032924148771498,0.0012304843137372168,0.2152578741946119,0.0019581856492079646
Euclidean Linear no bias,16384,16,512,False,0.09723642817203035,0.0009197199030939873,0.2108276364478198,0.000662761645064926
Euclidean Linear + ReLU,16384,16,512,False,0.10885358099327531,0.0008980105653203946,0.23512783012491592,0.0013616590743438645
Euclidean Linear no bias + ReLU,16384,16,512,False,0.10627339002878769,0.0007369661645249989,0.2296552722426978,0.0008557280598075855
Lorentz_FC (MLR),16384,32,512,False,0.35726469172083813,0.0035229208342775022,0.49866667079428834,0.0057300202178079
Lorentz_FC cached (MLR),16384,32,512,False,0.1922327276657928,0.0010994988011387228,0.35421495398749475,0.0020901496154755294
Lorentz_FC + ReLU,16384,32,512,False,0.3665009796619415,0.0014771835548542864,0.5524588924773196,0.0028721137127288836
Lorentz_FC cached + ReLU,16384,32,512,False,0.2076373320693771,0.003849885307688803,0.36894958518272225,0.001841549443099726
BdeirLorentzMLR,16384,32,512,False,0.5414034261995432,0.005558854687254731,1.1042641680291359,0.0036559533898874617
"ChenLinear (bias=F, norm=F)",16384,32,512,False,0.222677331417799,0.0038255143881431005,0.41371826050074206,0.0033725761053440195
"ChenLinear (bias=T, norm=T)",16384,32,512,False,0.49220963217774216,0.005098589647332978,0.7932373310128847,0.004750343773941578
Poincare_Dist2Hyperplanes,16384,32,512,False,0.484373331690828,0.005206685844067392,1.1202297424658751,0.0022300651535229897
Poincare_Linear,16384,32,512,False,0.8829773910667585,0.005525404362924918,1.5818128663560618,0.005386592511558825
